playlist_id,artist,track,register_id,category
8,"Sakis Rouvas",1992,1,Pop
10,Eminem,"Lose YourSelf",1,"Hip Hop"
11,"Ariana Grande","7 Rings",1,Pop
12,"50 Cent","Ayo Technology Ft. Justin Timberlake",1,"Hip Hop"
13,2Pac,"Hail Mary",1,"Hip Hop"
14,"Mad Clip",Hustla,1,Trap
15,Eminem,"Not Afraid",1,"Hip Hop"
16,"Ariana Grande","Thank U, Next",1,Pop
17,"Des Rocs","Suicide Romantics",1,Rock
18,"These New Puritans","Stone Cold Classic",1,Rock
19,"50 Cent","Candy Shop ft. Olivia",1,"Hip Hop"
20,2Pac,"All Eyez On Me",1,"Hip Hop"
